experiment,eval_split,mae,rmse,mape,daily_mae,daily_rmse,daily_mape
E00_irradiance_baseline,test1,0.0037556286922463774,0.007360547901171204,2.7146019171685567,0.054653501476610654,0.08053693201283807,0.24834011007232598
E00_irradiance_baseline,test2,0.002798307869185179,0.005032188877438345,25.867876869464162,0.1203254887492818,0.13372533273814297,1.8396012490104907
E00_irradiance_baseline,train,0.003051449277970488,0.00567835097442586,34.74957662750081,0.05272532432047946,0.07627907577151377,0.31463346695652966
E00_irradiance_baseline,valid_seen,0.0033725607240910416,0.006534658288776041,54.31215538600475,0.055953049795105965,0.08893665887400007,0.32480539230225564
E00_irradiance_baseline,valid_unseen,0.0037941392167236652,0.0070489158818025826,402.63555333630507,0.1613360528171812,0.20267002750782204,0.5922949245035751
E00_irradiance_baseline,combined_validation,,,,,,0.45855015840291535
E01_lgbm_raw_point,test1,0.0019337774374232773,0.004562375651539026,0.7350373941472691,0.13028496970782716,0.1822525036674455,0.34297892434661775
E01_lgbm_raw_point,test2,0.0019615430826881025,0.003632656029543755,4.294326694281466,0.13490041894323487,0.15481023484271525,1.8448243005975944
E01_lgbm_raw_point,train,0.001298832226357534,0.003261676409848348,4.140902768625491,0.08976887432201792,0.12593191091473194,0.25779273244733175
E01_lgbm_raw_point,valid_seen,0.0016654689199521308,0.00396636826724122,4.094492047806722,0.11209238598793986,0.1628422888112667,0.32573648461773125
E01_lgbm_raw_point,valid_unseen,0.001855671833070594,0.003578342336270422,19.74166971799565,0.120376876970432,0.15715144393662936,0.35174877859519815
E01_lgbm_raw_point,combined_validation,,,,,,0.3387426316064647
E03_lgbm_norm_target,test1,0.0024830665716963863,0.017255214298825386,1.654027851415198,0.15989659203630488,0.25458352504764814,0.5410413114912044
E03_lgbm_norm_target,test2,0.0026475843963236663,0.007338695187127399,3.120523021505002,0.15520204200469576,0.23146521515256022,1.9669539166099805
E03_lgbm_norm_target,train,0.001647366543692389,0.005924224590051373,38.20266329932177,0.09596365591265185,0.13845872427146266,0.34326208883674075
E03_lgbm_norm_target,valid_seen,0.0019837971330245573,0.009713671021736139,74.06110785554847,0.12452393530795643,0.1846399354336821,0.3908124375282434
E03_lgbm_norm_target,valid_unseen,0.0022235667947708548,0.007905670478266211,478.794473132855,0.11490032138404456,0.16220625416273482,0.36779758632498144
E03_lgbm_norm_target,combined_validation,,,,,,0.3793050119266124
E02_lgbm_daily_rescaled,test1,0.003140277147530015,0.007303450106531361,1.3321364442794585,0.021202749242645796,0.03316936766891564,0.07802618366832619
E02_lgbm_daily_rescaled,test2,0.0017509038994504267,0.003973844458060612,1.4027907057378752,0.04790967419075465,0.06472775670002404,0.2996917086818355
E02_lgbm_daily_rescaled,train,0.0021573989505583807,0.004770728436412881,42.79472150171931,0.002007444076165552,0.0030579353344928747,0.009298403831844413
E02_lgbm_daily_rescaled,valid_seen,0.0025900067734509415,0.00645338534164394,56.44946045690522,0.016398691823548278,0.03186945614446287,0.07414493075499332
E02_lgbm_daily_rescaled,valid_unseen,0.002378374655038698,0.005369637478771968,773.4342507347743,0.06359462436703492,0.0972221631662244,0.17912085911386294
E02_lgbm_daily_rescaled,combined_validation,,,,,,0.12663289493442814
