index,combined_validation_daily_mape,valid_seen_daily_mape,valid_unseen_daily_mape,test1_daily_mape,test2_daily_mape
mean,0.1371852855418665,0.08282013538390419,0.19155043569982877,0.08642763947143846,0.6720799836666106
std,0.05230903399777639,0.008913480078732649,0.1132023431201568,0.0016774993814725702,0.07715331974730831
min,0.09415910527470678,0.07252883903017712,0.10048297059740079,0.08453652530330026,0.5879239925311611
max,0.19541071551498712,0.08809632716952269,0.31829259199979715,0.08773619735046684,0.7394751989679081
