eval_split,devices,train_device_overlap_ratio,days,date_min,date_max,daily_target_mean,daily_target_median,daily_target_std,daily_target_p10,daily_target_p90,low_load_share_lt_0_05,low_load_share_lt_0_10,solar_proxy_sum_median,radiation_proxy_sum_median,latitude_median,longitude_median,region5_count,nonzero_row_ratio
test1,22,1.0,110,2024-05-18,2024-08-20,0.32532123164414944,0.2707611674873719,0.2155269879571977,0.06378990475205164,0.6733301603638009,0.01818181818181818,0.16363636363636364,9661.41451354768,28883.626188000002,37.39759,-92.87666,12,0.7183470105509965
test2,6,0.0,36,2024-04-08,2024-08-18,0.24026390259508842,0.24833191837606658,0.1405496170151592,0.03255289506118727,0.41740911206293574,0.1388888888888889,0.2222222222222222,9273.208835621033,26042.082310550002,39.54799,-95.36327,5,0.8060052987930527
train,35,1.0,1951,2024-03-11,2024-08-13,0.3138935282137615,0.30883036515567563,0.1564507882942615,0.10806572638888699,0.4915539944444425,0.01742696053305997,0.07842132239876987,10909.676790457988,29531.247787,35.9825,-97.78203,16,0.6859516865679854
valid_seen,35,1.0,245,2024-05-10,2024-08-20,0.31221628467387874,0.2862592451465181,0.19139042693088026,0.07846612595237937,0.6142504127380932,0.02857142857142857,0.1510204081632653,10561.581085809194,28658.990173,37.33939,-95.32472,16,0.7073395299894774
valid_unseen,4,0.0,457,2024-02-26,2024-08-20,0.3128773503752793,0.3110701339285692,0.10944230944808035,0.19003415238095037,0.4940386128571406,0.010940919037199124,0.019693654266958426,11167.147312039502,26720.6525645,32.94833,-96.72985,4,0.7222117558402411
