alpha_norm_calibrated,test1,test2,valid_seen,valid_unseen,combined_valid,combined_test
0.0,0.0780261836683244,0.29969170868182293,0.07414493075499227,0.17912085911386297,0.12663289493442761,0.18885894617507365
0.1,0.07869666293870767,0.3319870923715674,0.0730233667490611,0.17587109537650072,0.12444723106278091,0.20534187765513756
0.2,0.07976444966329058,0.3653934067544906,0.07219511636583727,0.17284001330180876,0.122517564833823,0.22257892820889058
0.30000000000000004,0.08111160875194189,0.3989331967024827,0.07167907715588293,0.17012981599387636,0.12090444657487964,0.2400224027272123
0.4,0.08284271414519515,0.4332738499018703,0.07144947490112809,0.16795562272828693,0.11970254881470752,0.2580582820235327
0.5,0.08461961285282725,0.46830830050802924,0.07146487779381346,0.16613166577533509,0.11879827178457428,0.2764639566804282
0.6000000000000001,0.08727229208260821,0.5037537253125203,0.07197761842556462,0.1648705416551143,0.11842408004033947,0.29551300869756425
0.7000000000000001,0.0904527661179025,0.5391991501170112,0.07262987690324962,0.1639971828324116,0.11831352986783061,0.3148259581174569
0.8,0.09414489401478432,0.5746445749215022,0.07351803191920611,0.16354249087076503,0.11853026139498557,0.3343947344681433
0.9,0.09790846212213894,0.6113006097325531,0.07456418478382734,0.1636264420337967,0.11909531340881202,0.354604535927346
1.0,0.10167203022949356,0.6483100988869462,0.07574002517985716,0.1642999346086715,0.12001997989426433,0.3749910645582199
